"Without insurance","Sans assurance"
"With insurance","Avec assurance"
"Please select only one package.","Merci de n'ajouter qu'un seul paquet."
"%1 is not a directory","%1 n'est pas un dossier"
"SOAP response invalid","Réponse SOAP response invalide"
"Operations","Operations"
"Print Shipping Deposit (Colissimo)","Imprimer le bordereau de remise (Colissimo)"
"Colissimo Label","Colissimo Etiquette"
"Account","Numéro de compte"
"Password","Mot de passe"
"Commercial Name","Nom commercial"
"Site name","Nom du site de prise en charge"
"Site number","Numéro du site de prise en charge"
"Label Size","Taille de l'étiquette"
"Label Path","Dossier des étiquettes"
"Delete label after","Supprimer l'étiquette après"
"Insurance Ad Valorem","Assurance Ad Valorem"
